Age,weight,height
0Months,7.3 lb. (3.31 kg),"19.4"" (49.2 cm)"
1Months,9.6 lb.. (4.35 kg),"21.2"" (53.8 cm)"
2Months,11.7 lb. (5.3 kg),"22.1"" (56.1 cm)"
3Months,13.3 lb. (6.03 kg),"23.6"" (59.9 cm)"
4Months,14.6 lb. (6.62 kg),"24.5"" (62.2 cm)"
5Months,15.8 lb. (7.17 kg),"25.3"" (64.2 cm)"
6Months,16.6 lb. (7.53 kg),"25.9"" (64.1 cm)"
7Months,17.4 lb. (7.9 kg),"26.5"" (67.3 cm)"
8Months,18.1 lb. (8.21 kg),"27.1"" (68.8 cm)"
9Months,18.8 lb. (8.53 kg),"27.6"" (70.1 cm)"
10Months,19.4 lb. (8.8 kg),"28.2"" (71.6 cm)"
11Months,19.9 lb. (9.03 kg),"28.7"" (72.8 cm)"
12Months,20.4 lb. (9.25 kg),"29.2"" (74.1 cm)"
13Months,21.0 lb. (9.53 kg),"29.6"" (75.1 cm)"
14Months,21.5 lb. (9.75 kg),"30.1"" (76.4 cm)"
15Months,22.0 lb. (9.98 kg),"30.6"" (77.7 cm)"
16Months,22.5 lb. (10.2 kg),"30.9"" (78.4 cm)"
17Months,23.0 lb. (10.43 kg),"31.4"" (79.7 cm)"
18Months,23.4 lb. (10.61 kg),"31.8"" (80.7 cm)"
19Months,23.9 lb. (10.84 kg),"32.2"" (81.7 cm)"
20Months,24.4 lb. (11.07 kg),"32.6"" (82.8 cm)"
21Months,24.9 lb. (11.3 kg),"32.9"" (83.5 cm)"
22Months,25.4 lb. (11.52 kg),"33.4"" (84.8 cm)"
23Months,25.9 lb. (11.75 kg),"33.5"" (85.1 cm)"
2Years,26.5 lb. (12.02 kg),"33.7"" (85.5 cm)"
3Years,31.5 lb. (14.29 kg),"37.0"" (94 cm)"
4Years,34.0 lb. (15.42 kg),"39.5"" (100.3 cm)"
5Years,39.5 lb. (17.92 kg),"42.5"" (107.9 cm)"
6Years,44.0 lb. (19.96 kg),"45.5"" (115.5 cm)"
7Years,49.5 lb. (22.45 kg),"47.7"" (121.1 cm)"
8Years,57.0 lb. (25.85 kg),"50.5"" (128.2 cm)"
9Years,62.0 lb. (28.12 kg),"52.5"" (133.3 cm)"
10Years,70.5 lb. (31.98 kg),"54.5"" (138.4 cm)"
11Years,81.5 lb. (36.97 kg),"56.7"" (144 cm)"
12Years,91.5 lb. (41.5 kg),"59.0"" (149.8 cm)"
13Years,101.0 lb. (45.81 kg),"61.7"" (156.7 cm)"
14Years,105.0 lb. (47.63 kg),"62.5"" (158.7 cm)"
15Years,115.0 lb. (52.16 kg),"62.9"" (159.7 cm)"
16Years,118.0 lb. (53.52 kg),"64.0"" (162.5 cm)"
17Years,120.0 lb. (54.43 kg),"64.0"" (162.5 cm)"
18Years,125.0 lb. (56.7 kg),"64.2"" (163 cm)"
19Years,126.0 lb. (57.15 kg),"64.2"" (163 cm)"
20Years,128.0 lb. (58.06 kg),"64.3"" (163.3 cm)"
